"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 15:42:43 AMT 2023","Sun Sep 10 15:42:49 AMT 2023","6082","","TestCases.BlogTest","","TestCases.BlogTest","testNewTabFromArticle","testNewTabFromArticle()",""
"failed","Sun Sep 10 18:41:01 AMT 2023","Sun Sep 10 18:41:06 AMT 2023","4985","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyPhoneFieldAcceptsOnlyNumbers","verifyPhoneFieldAcceptsOnlyNumbers()",""
"broken","Sun Sep 10 18:46:16 AMT 2023","Sun Sep 10 18:46:16 AMT 2023","0","","TestCases.HomePageTest","","TestCases.HomePageTest","","HomePageTest",""
"passed","Sun Sep 10 15:43:08 AMT 2023","Sun Sep 10 15:43:10 AMT 2023","1605","","TestCases.CareersTest","","TestCases.CareersTest","verifyFullNameFieldsAcceptsOnlyLetters","verifyFullNameFieldsAcceptsOnlyLetters()",""
"passed","Fri Sep 01 11:50:40 AMT 2023","Fri Sep 01 11:50:43 AMT 2023","2658","","TestCases.HomePage","","TestCases.HomePage","verifyLearnMoreButtonVisibilityAndNavigation","verifyLearnMoreButtonVisibilityAndNavigation()",""
"passed","Sun Sep 10 19:09:38 AMT 2023","Sun Sep 10 19:09:41 AMT 2023","2531","","TestCases.HomePageTest","","TestCases.HomePageTest","verifySeeMoreButton","verifySeeMoreButton()",""
"passed","Sun Sep 10 19:30:10 AMT 2023","Sun Sep 10 19:30:22 AMT 2023","12252","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyServicesBlockNavigation","verifyServicesBlockNavigation()",""
"passed","Fri Sep 01 11:50:22 AMT 2023","Fri Sep 01 11:50:23 AMT 2023","735","","TestCases.HomePage","","TestCases.HomePage","testName","testName()",""
"passed","Sun Sep 10 19:09:31 AMT 2023","Sun Sep 10 19:09:33 AMT 2023","2385","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyImageStylingAndLayout","verifyImageStylingAndLayout()",""
"passed","Fri Sep 01 11:50:22 AMT 2023","Fri Sep 01 11:50:22 AMT 2023","142","","TestCases.HomePage","","TestCases.HomePage","verifyHeadlineTextContent","verifyHeadlineTextContent()",""
"passed","Sun Sep 10 19:09:09 AMT 2023","Sun Sep 10 19:09:18 AMT 2023","8774","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyAboutUsImage","verifyAboutUsImage()",""
"passed","Sun Sep 10 19:10:24 AMT 2023","Sun Sep 10 19:10:27 AMT 2023","2991","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyContactInformationAppearance","verifyContactInformationAppearance()",""
"failed","Sun Sep 10 16:31:30 AMT 2023","Sun Sep 10 16:31:35 AMT 2023","5457","","TestCases.CasesTest","","TestCases.CasesTest","verifySecondPageIsHighlighted","verifySecondPageIsHighlighted()",""
"broken","Sun Sep 10 15:43:27 AMT 2023","Sun Sep 10 15:43:27 AMT 2023","0","","TestCases.CasesTest","","TestCases.CasesTest","","CasesTest",""
"failed","Wed Aug 30 18:16:06 AMT 2023","Wed Aug 30 18:16:13 AMT 2023","6807","","TestCases.HomePage","","TestCases.HomePage","testNewTabNavigation","testNewTabNavigation()",""
"passed","Fri Sep 01 11:50:38 AMT 2023","Fri Sep 01 11:50:40 AMT 2023","1724","","TestCases.HomePage","","TestCases.HomePage","verifyPageURLAndTitle","verifyPageURLAndTitle()",""
"passed","Fri Sep 01 11:50:38 AMT 2023","Fri Sep 01 11:50:38 AMT 2023","61","","TestCases.HomePage","","TestCases.HomePage","verifyImageAccessibility","verifyImageAccessibility()",""
"passed","Thu Aug 31 12:55:55 AMT 2023","Thu Aug 31 12:55:55 AMT 2023","47","","TestCases.HomePage","","TestCases.HomePage","testImageAccessibility","testImageAccessibility()",""
"failed","Sun Sep 10 14:49:54 AMT 2023","Sun Sep 10 14:50:00 AMT 2023","5553","","TestCases.CareersTest","","TestCases.CareersTest","verifyPhoneFieldAcceptsOnlyNumbers","verifyPhoneFieldAcceptsOnlyNumbers()",""
"passed","Sun Sep 10 18:18:30 AMT 2023","Sun Sep 10 18:18:33 AMT 2023","2902","","TestCases.CasesTest","","TestCases.CasesTest","verifyReadMoreButtonFunctionality","verifyReadMoreButtonFunctionality()",""
"passed","Thu Aug 31 12:17:37 AMT 2023","Thu Aug 31 12:17:39 AMT 2023","1730","","TestCases.HomePage","","TestCases.HomePage","VerifyWhyWeSubtitleBlockContent","VerifyWhyWeSubtitleBlockContent()",""
"passed","Sun Sep 10 15:42:49 AMT 2023","Sun Sep 10 15:42:50 AMT 2023","269","","TestCases.BlogTest","","TestCases.BlogTest","verifyShareContainerExist","verifyShareContainerExist()",""
"passed","Sun Sep 10 19:33:49 AMT 2023","Sun Sep 10 19:33:50 AMT 2023","909","","TestCases.ServicesTest","","TestCases.ServicesTest","verifyHeaderTextContent","verifyHeaderTextContent()",""
"passed","Sun Sep 10 19:33:14 AMT 2023","Sun Sep 10 19:33:16 AMT 2023","1981","","TestCases.RegressionTestingTest","","TestCases.RegressionTestingTest","verifyFAQContainerOpenerFunctionality","verifyFAQContainerOpenerFunctionality()",""
"passed","Sun Sep 10 19:32:32 AMT 2023","Sun Sep 10 19:32:41 AMT 2023","8981","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyDescriptionFieldAcceptanceCredentials","verifyDescriptionFieldAcceptanceCredentials()",""
"passed","Fri Sep 01 11:50:27 AMT 2023","Fri Sep 01 11:50:33 AMT 2023","5697","","TestCases.HomePage","","TestCases.HomePage","verifyWhyWeSubtitleBlockContentAndStyling","verifyWhyWeSubtitleBlockContentAndStyling()",""
"passed","Sun Sep 10 18:18:28 AMT 2023","Sun Sep 10 18:18:29 AMT 2023","1321","","TestCases.CasesTest","","TestCases.CasesTest","verifyFilterPartContainerSelection","verifyFilterPartContainerSelection()",""
"passed","Thu Aug 31 12:55:46 AMT 2023","Thu Aug 31 12:55:47 AMT 2023","984","","TestCases.HomePage","","TestCases.HomePage","VerifyImageStylingAndLayout","VerifyImageStylingAndLayout()",""
"passed","Fri Sep 01 11:50:22 AMT 2023","Fri Sep 01 11:50:22 AMT 2023","153","","TestCases.HomePage","","TestCases.HomePage","verifySubtitleStylingAndAppearance","verifySubtitleStylingAndAppearance()",""
"passed","Fri Sep 01 11:50:33 AMT 2023","Fri Sep 01 11:50:33 AMT 2023","480","","TestCases.HomePage","","TestCases.HomePage","verifySlickSliderFunctionality","verifySlickSliderFunctionality()",""
"passed","Fri Sep 01 11:50:23 AMT 2023","Fri Sep 01 11:50:23 AMT 2023","39","","TestCases.HomePage","","TestCases.HomePage","verifyLogoExist","verifyLogoExist()",""
"passed","Sun Sep 10 15:43:12 AMT 2023","Sun Sep 10 15:43:12 AMT 2023","182","","TestCases.CareersTest","","TestCases.CareersTest","verifyApplySectionWithoutCredentials","verifyApplySectionWithoutCredentials()",""
"passed","Sun Sep 10 19:09:33 AMT 2023","Sun Sep 10 19:09:36 AMT 2023","2588","","TestCases.HomePageTest","","TestCases.HomePageTest","verifyWhyWeContainerContentAndStyling","verifyWhyWeContainerContentAndStyling()",""
